C3:C4:C1:C2
Material	Number of occurrences	C1:virus	C1:bacteria	C1:fungus	C1:plant	C1:animalia 	C1:insect	C1:fish	C1:arachnid	C2:molecular entity	C2:cellular part	C2:cell	C2:tissue	C2:organism	C2:organ	C3:biological	C3:device	C3:chemical	C3:data	C4:raw data	C4:processed data	C4:analysed data
aspergillus clavatus	3			1										1		1						
fusarium verticillioides	3			1										1		1						
fusarium equiseti	3			1										1		1						
bipolaris sorokiniana	3			1										1		1						
fusarium acuminatum	3			1										1		1						
aspergillus versicolor	3			1										1		1						
penicillium corylophilum	3			1										1		1						
penicillium islandicum	3			1										1		1						
claviceps purpurea	3			1										1		1						
penicillium expansum	3			1										1		1						
fusarium oxysporum	3			1										1		1						
fusarium semitectum	3			1										1		1						
fusarium compactum	3			1										1		1						
fusarium subglutinans	3			1										1		1						
fusarium avenaceum	3			1										1		1						
fusarium sporotrichioides	3			1										1		1						
fusarium anthophilum	3			1										1		1						
eurotium amstelodami	3			1										1		1						
drechslera	3			1										1		1						
aspergillus multicolor	3			1										1		1						
aspergillus carbonarius	3			1										1		1						
eurotium chevalieri	3			1										1		1						
penicillium italicum	3			1										1		1						
fusarium sambucinum	3			1										1		1						
fusarium crookwellense	3			1										1		1						
fusarium graminearum	3			1										1		1						
aspergillus parasiticus	3			1										1		1						
fusarium rugulosum	3			1										1		1						
fusarium globosum	3			1										1		1						
fusarium decemcellulare	3			1										1		1						
penicillium fellutanum	3			1										1		1						
penicillium rugulosum	3			1										1		1						
alternaria alternata	3			1										1		1						
curvularia lunata	3			1										1		1						
penicillium viridicatum	3			1										1		1						
fusarium solani	3			1										1		1						
penicillium funiculosum	3			1										1		1						
pithomyces chartarum	3			1										1		1						
ovine (dairy sheep)	76					1								1		1						
human	53					1								1		1						
sheep	47					1								1		1						
caprine (goat)	26					1								1		1						
bovine (cow)	21					1								1		1						
acyrthosiphon pisum (clone pll01)	18				1											1						
mouse	12					1								1		1						
medicago sativa cv. europe	10				1											1						
chicken	6					1								1		1						
caenorhabditis elegans l1 larvae (strain n2)	4					1								1		1						
chenopodium quinoa	4				1											1						
datura stramonium	3				1											1						
nicotiana tabacum	2				1											1						
medicago sativa cv. locationl	2				1											1						
cockroach	2					1								1		1						
balb/c mouse	2					1								1		1						
medicago truncatula	2				1											1						
locust	2					1								1		1						
undetermined	2															1						
microtus fortis	2															1						
rabbit	1					1								1		1						
glycine max	1				1											1						
chenopodiun amaranticolor	1				1											1						
taraxacum officinale	1				1											1						
panax notoginseng	1				1											1						
phaseolus vulgaris	1				1											1						
zinnia elegans	1															1						
reference	1															1						
cucumis sativus	1				1											1						
tetragonia expansa	1				1											1						
homo sapiens blood	1					1								1		1						
homo sapiens liver	1					1								1		1						
genomic dna	5									1					1	1						
cdna	3									1					1	1						
rna	2									1					1	1						
genomic dna	54									1					1	1						
reverse transcribed total rna	54									1					1	1						
microrna	40									1					1	1						
all fraction rna	12									1					1	1						
short fraction rna	12									1					1	1						
nucleosomal	2									1					1	1						
genomic dna	1									1					1	1						
homo sapiens	329011					1								1		1						
mus musculus	125863					1								1		1						
rattus norvegicus	34194					1								1		1						
saccharomyces cerevisiae	30918			1										1		1						
arabidopsis thaliana	23538				1									1		1						
drosophila melanogaster	15305					1								1		1						
caenorhabditis elegans	4824					1								1		1						
bos taurus	4601					1								1		1						
gallus gallus	4529					1								1		1						
sus scrofa	4408					1								1		1						
escherichia coli	4391		1											1		1						
danio rerio	3569					1								1		1						
zea mays	3535				1									1		1						
oryza sativa	3359				1									1		1						
mycobacterium tuberculosis	2767		1											1		1						
schizosaccharomyces pombe	2662			1										1		1						
salmonella enterica subsp. enterica serovar typhimurium	2573		1											1		1						
hordeum vulgare	1899				1									1		1						
candida albicans	1762			1										1		1						
plasmodium falciparum	1752					1								1		1						
triticum aestivum	1738				1									1		1						
staphylococcus aureus	1734		1											1		1						
helicobacter pylori	1605		1											1		1						
oncorhynchus mykiss	1569					1								1		1						
campylobacter jejuni	1531		1											1		1						
glycine max	1519				1									1		1						
salmo salar	1496					1								1		1						
halobacterium sp. nrc 1	1478		1											1		1						
streptomyces coelicolor	1391		1											1		1						
halobacterium salinarum	1384		1											1		1						
solanum tuberosum	1274				1									1		1						
populus trichocarpa x populus deltoides	1166				1									1		1						
mycobacterium tuberculosis h37rv	1148		1											1		1						
macaca mulatta	1064					1								1		1						
macaca fascicularis	926					1								1		1						
bacillus cereus	879		1											1		1						
pimephales promelas	860					1								1		1						
canis lupus familiaris	833					1								1		1						
gossypium hirsutum	822				1									1		1						
oncorhynchus nerka	822					1								1		1						
bacillus subtilis	815		1											1		1						
ovis aries	787					1								1		1						
medicago truncatula	756				1									1		1						
apis mellifera	753					1								1		1						
oryza sativa japonica group	738				1									1		1						
dictyostelium discoideum	734					1								1		1						
saccharomyces bayanus	724			1										1		1						
synthetic construct	705													1		1						
sinorhizobium meliloti	686		1											1		1						
neisseria meningitidis	668		1											1		1						
yersinia pestis	657		1											1		1						
pseudomonas aeruginosa	655		1											1		1						
rattus rattus	638					1								1		1						
daphnia pulex	626					1								1		1						
streptococcus pyogenes	606		1											1		1						
xenopus laevis	602					1								1		1						
daphnia magna	562					1								1		1						
listeria monocytogenes	542		1											1		1						
crassostrea virginica	540					1								1		1						
bordetella pertussis	536		1											1		1						
streptococcus pneumoniae	531		1											1		1						
thermus thermophilus hb8	524		1											1		1						
bacillus anthracis str. sterne	517		1											1		1						
platichthys flesus	516					1								1		1						
toxoplasma gondii	480													1		1						
viruses	476				1									1		1						
brassica napus	472					1								1		1						
pan troglodytes	464		1											1		1						
enterococcus faecalis	461													1		1						
sparus aurata	434					1								1		1						
salmonella enterica	432		1											1		1						
vitis vinifera	425				1									1		1						
vibrio cholerae	415		1											1		1						
biomphalaria glabrata	413					1								1		1						
eucalyptus grandis x eucalyptus urophylla	408				1									1		1						
eisenia fetida	408					1								1		1						
anopheles gambiae	404					1								1		1						
clostridium botulinum	400		1											1		1						
nicotiana tabacum	388				1									1		1						
bacillus anthracis	381		1											1		1						
francisella tularensis subsp. novicida	370		1											1		1						
neurospora crassa	369			1										1		1						
solanum lycopersicum	365				1									1		1						
blastocladiella emersonii	358		1											1		1						
spermophilus lateralis	356					1								1		1						
oryza sativa indica group	355				1									1		1						
montastraea faveolata	354													1		1						
lactobacillus plantarum	350		1											1		1						
legionella pneumophila subsp. pneumophila str. philadelphia 1	348		1											1		1						
myxococcus xanthus	344		1											1		1						
lactobacillus reuteri	344		1											1		1						
meleagris gallopavo	342					1								1		1						
pinctada maxima	342					1								1		1						
francisella tularensis	334		1											1		1						
desulfovibrio vulgaris subsp. vulgaris str. hildenborough	333		1											1		1						
bacteria	333		1											1		1						
solanum chacoense	328				1									1		1						
candida glabrata	325			1										1		1						
salmonella typhimurium	316		1											1		1						
bombyx mori	313					1								1		1						
coregonus clupeaformis	305					1								1		1						
mycobacterium avium	304		1											1		1						
chlamydomonas reinhardtii	299		1											1		1						
gasterosteus aculeatus	291					1								1		1						
spermophilus parryii	291					1								1		1						
escherichia coli str. k 12 substr. mg1655	290		1											1		1						
fundulus heteroclitus	289					1								1		1						
schistosoma mansoni	284					1								1		1						
citrus clementina	281				1									1		1						
picea engelmannii x picea glauca	278				1									1		1						
escherichia coli k12	270		1											1		1						
rhizobium leguminosarum	267		1											1		1						
folsomia candida	266					1								1		1						
actinobacillus pleuropneumoniae	264		1											1		1						
clostridium difficile	261		1											1		1						
salmonella typhimurium sl1344	259		1											1		1						
crassostrea gigas	254					1								1		1						
cyclamen persicum	254				1									1		1						
taeniopygia guttata	252					1								1		1						
gillichthys mirabilis	246					1								1		1						
bradyrhizobium japonicum	242				1									1		1						
saccharum officinarum	240				1									1		1						
lycopersicon esculentum	239				1									1		1						
escherichia coli k 12	237		1											1		1						
ustilago maydis	236			1										1		1						
aspergillus niger	232			1										1		1						
euphorbia esula	232				1									1		1						
haemophilus influenzae	228	1												1		1						
petrolisthes cinctipes	228					1								1		1						
salmonella enterica subsp. enterica	222		1											1		1						
cricetulus griseus	222					1								1		1						
populus trichocarpa	220				1									1		1						
entamoeba histolytica	220													1		1						
emericella nidulans	220			1										1		1						
papio hamadryas	219					1								1		1						
bordetella bronchiseptica	218		1											1		1						
gadus morhua	218					1								1		1						
streptococcus mutans ua159	209		1											1		1						
ipomoea batatas	208				1									1		1						
cyprinus carpio	205					1								1		1						
aedes aegypti	204					1								1		1						
eucalyptus grandis	203				1									1		1						
desulfovibrio vulgaris str. hildenborough	202		1											1		1						
capra hircus	201					1								1		1						
cryptococcus neoformans var. grubii	200		1											1		1						
populus tremula x populus alba	199				1									1		1						
lactococcus lactis	199		1											1		1						
paramecium bursaria chlorella virus 1	197	1												1		1						
bacillus cereus atcc 14579	194		1											1		1						
mytilus californianus	192					1								1		1						
synechocystis sp. pcc 6803	191		1											1		1						
equus caballus	191					1								1		1						
unidentified	191													1		1						
pseudomonas putida	190		1											1		1						
bacteroides thetaiotaomicron	189		1											1		1						
shewanella oneidensis mr 1	187		1											1		1						
environmental samples	186													1		1						
trypanosoma brucei	185													1		1						
aspergillus fumigatus	184			1										1		1						
xylella fastidiosa	184					1								1		1						
picea abies	184				1									1		1						
clostridium acetobutylicum	180		1											1		1						
lactobacillus sakei	179		1											1		1						
nicotiana benthamiana	178				1									1		1						
magnaporthe oryzae	177			1										1		1						
candida dubliniensis	176			1										1		1						
vibrio parahaemolyticus	175		1											1		1						
solenopsis invicta	172					1								1		1						
strongyloides ratti	168					1								1		1						
oryctolagus cuniculus	167					1								1		1						
ciona intestinalis	165					1								1		1						
enterococcus faecium	164		1											1		1						
lactobacillus rhamnosus	160		1											1		1						
populus euphratica	160				1									1		1						
salmo trutta	160					1								1		1						
drosophila simulans	159					1								1		1						
tursiops truncatus	159					1								1		1						
oenococcus oeni	158		1											1		1						
archaea	156		1											1		1						
lactobacillus johnsonii	153		1											1		1						
cyanidioschyzon merolae	150				1									1		1						
synechococcus elongatus pcc 7942	150		1											1		1						
lactobacillus paracasei	148		1											1		1						
lactobacillus fermentum	148		1											1		1						
geobacter sulfurreducens pca	148				1									1		1						
lotus japonicus	147		1											1		1						
rhodopseudomonas palustris	146		1											1		1						
neisseria gonorrhoeae	146		1											1		1						
mycoplasma hyopneumoniae	146		1											1		1						
pennisetum glaucum	144				1									1		1						
lactobacillus helveticus	144		1											1		1						
coturnix japonica	143					1								1		1						
picea sitchensis	142				1									1		1						
burkholderia pseudomallei	141		1											1		1						
lactobacillus paralimentarius	140		1											1		1						
salmonella enterica subsp. enterica serovar typhi	140		1											1		1						
acropora palmata	140					1								1		1						
lactobacillus acidophilus	140		1											1		1						
lactobacillus sanfranciscensis	140		1											1		1						
lactobacillus delbrueckii	140		1											1		1						
leuconostoc mesenteroides	140		1											1		1						
lactobacillus curvatus	140		1											1		1						
lactobacillus pontis	140		1											1		1						
lactobacillus gasseri	137		1											1		1						
leuconostoc citreum	136		1											1		1						
staphylococcus lentus	136		1											1		1						
lactobacillus parabuchneri	136		1											1		1						
lactobacillus frumenti	136		1											1		1						
pediococcus acidilactici	136		1											1		1						
mustela putorius furo	136					1								1		1						
lactobacillus pentosus	136		1											1		1						
lactobacillus hilgardii	136		1											1		1						
lactobacillus crispatus	136		1											1		1						
lactobacillus mindensis	136		1											1		1						
lactobacillus casei	136		1											1		1						
lactobacillus alimentarius	136		1											1		1						
lactobacillus amylovorus	136		1											1		1						
pediococcus pentosaceus	136		1											1		1						
enterococcus hirae	136		1											1		1						
salvelinus fontinalis	136					1								1		1						
arachis hypogaea	136					1								1		1						
enterococcus casseliflavus	136		1											1		1						
lactobacillus paraplantarum	136		1											1		1						
streptococcus thermophilus	136		1											1		1						
lactobacillus brevis	136		1											1		1						
lactobacillus farciminis	136		1											1		1						
lactobacillus kimchii	136		1											1		1						
lactobacillus buchneri	136		1											1		1						
lactobacillus fructivorans	136		1											1		1						
lactobacillus panis	136		1											1		1						
brevibacterium linens	136		1											1		1						
bifidobacterium	136		1											1		1						
leuconostoc pseudomesenteroides	136		1											1		1						
enterococcus mundtii	136		1											1		1						
weissella confusa	136		1											1		1						
lactobacillus rossiae	136		1											1		1						
streptococcus suis	135		1											1		1						
onthophagus taurus	134					1								1		1						
cryptococcus neoformans var. grubii h99	134		1											1		1						
campylobacter coli	132		1											1		1						
bacillus subtilis subsp. subtilis str. 168	132		1											1		1						
saccharomyces cerevisiae sk1	132			1										1		1						
synthetic	130							1						1		1						
canis familiaris	128					1								1		1						
rhodococcus sp. rha1	126		1											1		1						
campylobacter jejuni subsp. jejuni nctc 11168	124		1											1		1						
dreissena polymorpha	124		1											1		1						
rhodopirellula baltica	124		1											1		1						
streptococcus mutans	122		1											1		1						
bifidobacterium longum	122		1											1		1						
streptococcus agalactiae	121		1											1		1						
kluyveromyces lactis	121		1											1		1						
marine metagenome	120							1						1		1						
sulfolobus solfataricus	120		1											1		1						
prochlorococcus marinus	119		1											1		1						
yersinia enterocolitica	115		1											1		1						
populus x canadensis	110				1									1		1						
populus deltoides	109				1									1		1						
bartonella henselae	107		1											1		1						
burkholderia thailandensis	105		1											1		1						
andropogon gerardii	104				1									1		1						
spermophilus tridecemlineatus	104					1								1		1						
amblyomma americanum	104					1								1		1						
rickettsia rickettsii	103		1											1		1						
litopenaeus vannamei	103					1								1		1						
pisum sativum	102				1									1		1						
legionella pneumophila	102		1											1		1						
bordetella parapertussis	101		1											1		1						
geranium dissectum	100				1									1		1						
populus fremontii x populus angustifolia	100				1									1		1						
aplysia californica	98					1								1		1						
human herpesvirus 4	97	1												1		1						
curcuma longa	96				1									1		1						
vitis riparia	96				1									1		1						
zingiber officinale	96				1									1		1						
cervus elaphus	95					1								1		1						
porphyromonas gingivalis	95		1											1		1						
xenopus tropicalis	93					1								1		1						
burkholderia pseudomallei k96243	93		1											1		1						
mycobacterium bovis	93		1											1		1						
acinetobacter baumannii	92		1											1		1						
malus x domestica	91													1		1						
euprymna scolopes	90					1								1		1						
pyrobaculum aerophilum	90		1											1		1						
aliivibrio salmonicida lfi1238	90		1											1		1						
bacillus subtilis strain 168	90		1											1		1						
anas platyrhynchos	88					1								1		1						
ostreococcus tauri	88		1											1		1						
brugia malayi	88					1								1		1						
apis mellifera mellifera	87					1								1		1						
lactobacillus plantarum wcfs1	86		1											1		1						
schistosoma japonicum	85													1		1						
burkholderia cenocepacia	85		1											1		1						
mytilus galloprovincialis	84					1								1		1						
lactococcus lactis subsp. lactis	84		1											1		1						
xanthomonas oryzae pv. oryzae kacc10331	84		1											1		1						
trichophyton rubrum	84			1										1		1						
caldicellulosiruptor saccharolyticus	82		1											1		1						
synechococcus sp. wh 8102	82		1											1		1						
ralstonia solanacearum	82		1											1		1						
vulpes vulpes	81					1								1		1						
plasmodium yoelii	81													1		1						
clostridium acetobutylicum atcc 824	81		1											1		1						
leishmania major	81													1		1						
brevibacterium aurantiacum	80		1											1		1						
staphylococcus aureus subsp. aureus mssa476	80		1											1		1						
dinoroseobacter shibae dfl 12	80		1											1		1						
helicobacter pylori 26695	80		1											1		1						
gossypium barbadense	80				1									1		1						
caulobacter vibrioides	80		1											1		1						
myzus persicae	80					1								1		1						
solea senegalensis	80					1								1		1						
strongylocentrotus purpuratus	80					1								1		1						
escherichia coli w3110	80		1											1		1						
h7 str. sakai	80		1											1		1						
saccharomyces paradoxus	79			1										1		1						
lumbrius rubellus	79					1								1		1						
mus musculus x mus spretus	78					1								1		1						
salmonella paratyphi	78		1											1		1						
pasteurella multocida	78		1											1		1						
coprinopsis cinerea	78			1										1		1						
salmonella enteritidis	77		1											1		1						
listeria monocytogenes egd e	77		1											1		1						
borrelia burgdorferi	77		1											1		1						
deinococcus radiodurans r1	76		1											1		1						
haloferax volcanii	75		1											1		1						
ectocarpus siliculosus	75				1									1		1						
picea glauca	73				1									1		1						
phanerochaete chrysosporium	73													1		1						
aspergillus flavus	73			1										1		1						
exiguobacterium sibiricum 255 15	72		1											1		1						
anguilla anguilla	72					1								1		1						
xanthomonas oryzae pv. oryzae pxo99a	72		1											1		1						
pinus sylvestris	72				1									1		1						
oncorhynchus gorbuscha	72													1		1						
coxiella burnetii	70													1		1						
filobasidiella neoformans	70													1		1						
prevotella ruminicola	68													1		1						
populus tremuloides	68													1		1						
homo sapiens	67													1		1						
aspergillus parasiticus	67													1		1						
brucella melitensis 16m	66													1		1						
uncultured prokaryote	65													1		1						
staphylococcus epidermidis	65													1		1						
streptococcus sp. 'group a'	64													1		1						
phaeodactylum tricornutum	64													1		1						
bradyrhizobium japonicum usda 110	64													1		1						
medicago sativa	64													1		1						
pichia pastoris	64													1		1						
moniliophthora perniciosa	64													1		1						
capsicum annuum	63													1		1						
mus musculus domesticus	63													1		1						
bartonella grahamii	63													1		1						
bacteroides thetaiotaomicron vpi 5482	63													1		1						
streptomyces griseus subsp. griseus nbrc 13350	62													1		1						
leishmania infantum	62													1		1						
clostridium beijerinckii ncimb 8052	62													1		1						
thalassiosira pseudonana ccmp1335	62													1		1						
oryza sativa (indica cultivar group)	61													1		1						
pseudomonas aeruginosa pao1	61													1		1						
salmonella enterica subsp. enterica serovar enteritidis	61													1		1						
euphausia superba	61													1		1						
vigna unguiculata	60													1		1						
karenia brevis	60													1		1						
paracoccidioides brasiliensis	60													1		1						
nicotiana langsdorffii x nicotiana sanderae	60													1		1						
psychrobacter arcticus 273 4	60													1		1						
wolbachia pipientis	60													1		1						
chlorocebus aethiops	60													1		1						
hippoglossus hippoglossus	60													1		1						
helicobacter pylori j99	59													1		1						
paxillus involutus	59													1		1						
harpagifer antarcticus	58													1		1						
drosophila pseudoobscura	58													1		1						
tetrahymena thermophila	58													1		1						
oncorhynchus kisutch	58													1		1						
lepidium sativum	58													1		1						
acyrthosiphon pisum	58													1		1						
burkholderia cepacia	58													1		1						
geobacter sulfurreducens	58													1		1						
streptococcus sanguinis	58													1		1						
pongo pygmaeus	57													1		1						
hypocrea jecorina	56													1		1						
micropterus salmoides	56													1		1						
drosophila yakuba	55													1		1						
phodopus sungorus	54													1		1						
podospora anserina	54													1		1						
rhipicephalus microplus	54													1		1						
streptococcus thermophilus bacteriophage dt1	54													1		1						
sulfolobus acidocaldarius	53													1		1						
candida parapsilosis	52													1		1						
mayetiola destructor	52													1		1						
gibberella moniliformis	51													1		1						
streptomyces coelicolor a3(2)	51													1		1						
rhodobacter sphaeroides	50													1		1						
gossypium longicalyx	48													1		1						
neurospora tetrasperma	48													1		1						
rana pirica	48													1		1						
salmonella enterica subsp. enterica serovar saintpaul	48													1		1						
apis mellifera ligustica	48													1		1						
populus nigra	48													1		1						
wyeomyia smithii	48													1		1						
zymomonas mobilis	48													1		1						
polistes metricus	48													1		1						
sarcophaga crassipalpis	48													1		1						
bryantella formatexigens dsm 14469	48													1		1						
yersinia pseudotuberculosis	48													1		1						
salmonella enterica subsp. enterica serovar typhimurium str. 14028s	48													1		1						
atcc	48													1		1						
lactobacillus reuteri f275	48													1		1						
actinosynnema pretiosum	48													1		1						
gossypium herbaceum	48													1		1						
triticum turgidum subsp. dicoccoides	48													1		1						
bufo marinus	48													1		1						
saccharomyces pastorianus	47													1		1						
xenopus (silurana) tropicalis	46													1		1						
cryptococcus bacillisporus	46													1		1						
prochlorococcus marinus subsp. pastoris str. ccmp1986	46													1		1						
gerbera hybrid cultivar	45													1		1						
salmon salar	45													1		1						
drosophila virilis	45													1		1						
linum usitatissimum	45													1		1						
h7 edl933	45													1		1						
mycobacterium smegmatis str. mc2 155	44													1		1						
dichelobacter nodosus	44													1		1						
dendroctonus ponderosae	44													1		1						
cryptopygus antarcticus	44													1		1						
sars coronavirus	44													1		1						
citrus sinensis	44													1		1						
salmonella enterica subsp. enterica serovar typhimurium str. lt2	43													1		1						
plasmodium berghei	43													1		1						
streptococcus pyogenes nz131	42													1		1						
arthroderma benhamiae	42													1		1						
vitis hybrid cultivar	42													1		1						
drosophila ananassae	42													1		1						
ictalurus punctatus	42													1		1						
psetta maxima	42													1		1						
drosophila mojavensis	41													1		1						
blautia hydrogenotrophica dsm 10507	41													1		1						
emiliania huxleyi	41													1		1						
solanum phureja	40													1		1						
phytophthora sojae	40													1		1						
bk polyomavirus	40													1		1						
lactobacillus delbrueckii subsp. bulgaricus atcc baa 365	40													1		1						
haematobia irritans	40													1		1						
lepeophtheirus salmonis	40													1		1						
streptococcus thermophilus cnrz1066	40													1		1						
magnaporthe grisea	40													1		1						
salmonella enterica subspecies i	40													1		1						
danaus plexippus	40													1		1						
trypanosoma cruzi	40													1		1						
paramecium tetraurelia	39													1		1						
onthophagus nigriventris	38													1		1						
mycobacterium smegmatis	38													1		1						
ashbya gossypii	38													1		1						
aspergillus oryzae	38													1		1						
piriqueta cistoides subsp. caroliniana	36													1		1						
enteromyxum leei	36													1		1						
uncultured sulfate reducing bacterium	36													1		1						
schmidtea mediterranea	36													1		1						
pongo abelii	36													1		1						
oryza sativa (japonica cultivar group)	36													1		1						
acropora millepora	36													1		1						
mycobacterium bovis bcg	36													1		1						
mytilus trossulus	36													1		1						
vitis aestivalis	36													1		1						
herminiimonas arsenicoxydans	36													1		1						
haliotis asinina	36													1		1						
streptococcus thermophilus bacteriophage 2972	36													1		1						
helianthus annuus	36													1		1						
arabidopsis halleri	36													1		1						
salmonella enterica subsp. enterica serovar paratyphi b	36													1		1						
bruguiera gymnorhiza	35													1		1						
salmonella enterica serotype typhimurium	35													1		1						
epinephelus coioides	34													1		1						
synthetic dna	34													1		1						
lolium perenne	34													1		1						
megaphorura arctica	34													1		1						
brassica rapa	34													1		1						
listeria monocytogenes str. 4b f2365	34													1		1						
mycoplasma genitalium	34													1		1						
ralstonia metallidurans ch34	34													1		1						
cercocebus torquatus atys	33													1		1						
prochlorococcus marinus str. mit 9313	33													1		1						
mycobacterium bovis bcg str. pasteur 1173p2	33													1		1						
rhodobacter sphaeroides 2.4.1	33													1		1						
drosophila persimilis	33													1		1						
rhodospirillum rubrum	33													1		1						
plasmodium falciparum 3d7	33													1		1						
thermoanaerobacter sp. x514	33													1		1						
carassius auratus	32													1		1						
methanococcus maripaludis	32													1		1						
metallosphaera sedula	32													1		1						
orchesella cincta	32													1		1						
candidatus blochmannia floridanus	32													1		1						
capsella bursa pastoris	32													1		1						
h7	32													1		1						
holothuria glaberrima	32													1		1						
francisella tularensis subsp. tularensis schu s4	32													1		1						
eschscholzia californica	32													1		1						
citrus reticulata	32													1		1						
persea americana	32													1		1						
felis catus	32													1		1						
melospiza melodia	31													1		1						
salmonella enterica subsp. enterica serovar newport	30													1		1						
salmonella enterica subsp. enterica serovar heidelberg	30													1		1						
salmonella enterica subsp. enterica serovar muenchen	30													1		1						
ralstonia eutropha h16	30													1		1						
osmerus mordax	30													1		1						
rhodococcus aetherivorans	30													1		1						
pseudomonas syringae pv. tomato str. dc3000	30													1		1						
salmonella enterica subsp. enterica serovar paratyphi a	30													1		1						
marmota monax	29													1		1						
desulfovibrio halophilus	29													1		1						
saccharomyces mikatae	29													1		1						
staphylococcus aureus subsp. aureus str. newman	29													1		1						
iridovirus	28													1		1						
bos indicus	28													1		1						
bacillus thuringiensis	28													1		1						
streptomyces turgidiscabies	28													1		1						
synechococcus sp. cc9311	28													1		1						
gorilla gorilla	28													1		1						
saccharomyces cerevisiae x saccharomyces paradoxus	28													1		1						
bacteriophage bfk20	28													1		1						
xenopus laevis x xenopus muelleri	28													1		1						
macropus eugenii	28													1		1						
glycine soja	28													1		1						
lagopus lagopus scotica	27													1		1						
alexandrium tamarense	27													1		1						
populus balsamifera	27													1		1						
eubacterium rectale	27													1		1						
penicillium chrysogenum	27													1		1						
fusarium oxysporum	27													1		1						
ursus americanus	27													1		1						
caenorhabditis briggsae	26													1		1						
mus spretus	26													1		1						
bdellovibrio bacteriovorus	26													1		1						
cryptococcus gattii	26													1		1						
colinus virginianus	26													1		1						
drosophila sechellia	26													1		1						
methanococcoides burtonii	26													1		1						
influenza a virus	26													1		1						
populus tremula	26													1		1						
syntrichia ruralis	25													1		1						
leishmania donovani	25													1		1						
sylvia communis	25													1		1						
cyanothece sp. atcc 51142	25													1		1						
sphingomonas wittichii rw1	25													1		1						
west nile virus	24													1		1						
ribes nigrum	24													1		1						
humulus lupulus	24													1		1						
laternula elliptica	24													1		1						
pseudomonas syringae pv. phaseolicola	24													1		1						
salmonella enterica subsp. enterica serovar dublin	24													1		1						
candidatus pelagibacter ubique htcc1062	24													1		1						
eucalyptus camaldulensis x eucalyptus grandis	24													1		1						
corynebacterium glutamicum atcc 13032	24													1		1						
populus alba	24													1		1						
desulfotomaculum reducens mi 1	24													1		1						
nitrosomonas europaea	24													1		1						
cyanothece sp.	24													1		1						
brugia pahangi	24													1		1						
pseudomonas stutzeri a1501	24													1		1						
methanobacteria	24													1		1						
staphylococcus aureus rn4220	24													1		1						
cryptococcus neoformans var. neoformans jec21	24													1		1						
teleopsis dalmanni	24													1		1						
populus maximowiczii x populus nigra	24													1		1						
salmonella enterica subsp. enterica serovar montevideo	24													1		1						
saccharomyces cerevisiae vin13	24													1		1						
pseudomonas fluorescens pf 5	24													1		1						
salmonella enterica subsp. enterica serovar paratyphi c	24													1		1						
mycoplasma gallisepticum	24													1		1						
papaver somniferum	24													1		1						
drosophila	23													1		1						
treponema denticola	23													1		1						
dickeya dadantii	23													1		1						
streptococcus mitis	23													1		1						
phytophthora infestans	22													1		1						
astatotilapia burtoni	22													1		1						
campylobacter	22													1		1						
synechococcus elongatus	22													1		1						
salmonella enterica subsp. enterica serovar kentucky	22													1		1						
desulfovibrio desulfuricans subsp. desulfuricans str. g20	22													1		1						
photobacterium profundum	22													1		1						
choristoneura fumiferana mnpv	22													1		1						
lactococcus lactis subsp. cremoris mg1363	22													1		1						
